CO_PROCEDIMENTO;no_proc_autorizado
04.07.01.013-0;GASTRECTOMIA PARCIAL COM OU SEM VAGOTOMIA
04.07.01.014-9;GASTRECTOMIA TOTAL
04.07.01.015-7;GASTRECTOMIA VIDEOLAPAROSCOPICA
04.07.01.016-5;GASTROENTEROANASTOMOSE
04.07.01.017-3;GASTROPLASTIA COM DERIVAÇÃO INTESTINAL
04.07.01.018-1;GASTROPLASTIA VERTICAL COM BANDA
04.07.01.021-1;GASTROSTOMIA
04.07.01.022-0;GASTROSTOMIA VIDEOLAPAROSCOPICA
04.07.01.023-8;PILOROPLASTIA
04.07.01.027-0;TRATAMENTO CIRÚRGICO DE ACALASIA (CARDIOMIOPLASTIA)
04.07.01.028-9;TRATAMENTO CIRÚRGICO DE DIVERTICULO DO TUBO DIGESTIVO
04.07.01.029-7;TRATAMENTO CIRÚRGICO DE REFLUXO GASTROESOFAGICO
04.07.01.030-0;TRATAMENTO CIRÚRGICO DE VARIZES ESOFAGICAS
04.07.01.033-5;TRATAMETO CIRÚRGICO DE MEGAESOFAGO SEM RESSECÇÃO/ CONSERVADOR
04.07.01.034-3;VAGOTOMIA COM OPERAÇÃO DE DRENAGEM
04.07.01.035-1;VAGOTOMIA SUPERSELETIVA / GASTRICA PROXIMAL
04.07.01.036-0;GASTRECTOMIA VERTICAL EM MANGA (SLEEVE)
04.07.01.037-8;TRATAMENTO DE INTERCORRENCIAS CIRURGICA POS- CIRURGIA BARIÁTRICA
04.07.01.038-6;CIRURGIA BARIÁTRICA POR VIDEOLAPAROSCOPIA
04.07.02.001-2;AMPUTAÇÃO COMPLETA ABDOMINO-PERINEAL DO RETO
04.07.02.002-0;AMPUTAÇÃO POR PROCIDENCIA DE RETO
04.07.02.007-1;COLECTOMIA TOTAL
04.07.02.006-3;04.07.02.006-3 - COLECTOMIA PARCIAL (HEMICOLECTOMIA)
04.07.02.008-0;COLECTOMIA VIDEOLAPAROSCOPICA
04.07.02.011-0;CRIPTECTOMIA UNICA / MULTIPLA
04.07.02.014-4;DRENAGEM DE ABSCESSO ISQUIORRETAL
04.07.02.015-2;DRENAGEM DE HEMATOMA / ABSCESSO RETRO-RETAL
04.07.02.017-9;ENTERECTOMIA
04.07.02.018-7;ENTEROANASTOMOSE (QUALQUER SEGMENTO)
04.07.02.019-5;ENTEROPEXIA (QUALQUER SEGMENTO)
04.07.02.021-7;ESFINCTEROTOMIA INTERNA E TRATAMENTO DE FISSURA ANAL
04.07.02.022-5;EXCISÃO DE LESÃO/ TUMOR ANU-RETAL
04.07.02.023-3;EXCISAO DE LESÃO INTESTINAL / MESENTERICA LOCALIZADA
04.07.02.024-1;FECHAMENTO DE ENTEROSTOMIA (QUALQUER SEGMENTO)
04.07.02.025-0;FECHAMENTO DE FISTULA DE COLON
04.07.02.026-8;FECHAMENTO DE FÍSTULA DE RETO
04.07.02.027-6;FISTULECTOMIA / FISTULOTOMIA ANAL
04.07.02.028-4;HEMORROIDECTOMIA
04.07.02.029-2;HERNIORRAFIA COM RESSECÇÃO INTESTINAL (HERNIA ESTRANGULADA)
04.07.02.032-2;PLASTICA ANAL EXTERNA / ESFINCTEROPLASTIA ANAL
04.07.02.033-0;PROCTOCOLECTOMIA TOTAL C/ RESERVATORIO ILEAL
04.07.02.034-9;PROCTOPEXIA ABDOMINAL POR PROCIDENCIA DO RETO
04.07.02.035-7;PROCTOPLASTIA E PROCTORRAFIA POR VIA PERINEAL
04.07.02.040-3;RETOSSIGMOIDECTOMIA ABDOMINAL
04.07.02.041-1;RETOSSIGMOIDECTOMIA ABDOMINO-PERINEAL
04.07.02.042-0;TRATAMENTO CIRÚRGICO DE ANOMALIAS CONGENITAS DO ANUS E RETO
04.07.02.043-8;TRATAMENTO CIRÚRGICO DE AUSENCIA DO RETO (ABDOMINO-PERINEAL)
04.07.02.045-4;TRATAMENTO CIRURGICO DE IMPERFURACAO MEMBRANOSA DO ANUS
04.07.02.046-2;TRATAMENTO CIRÚRGICO DE MA ROTAÇÃO INTESTINAL
04.07.02.047-0;TRATAMENTO CIRÚRGICO DE PROLAPSO ANAL
04.07.03.001-8;ANASTOMOSE BILEO-DIGESTIVA
04.07.03.002-6;COLECISTECTOMIA
04.07.03.003-4;COLECISTECTOMIA VIDEOLAPAROSCOPICA
04.07.03.004-2;COLECISTOSTOMIA
04.07.03.005-0;COLEDOCOPLASTIA
04.07.03.006-9;COLEDOCOTOMIA COM OU SEM COLECISTECTOMIA
04.07.03.007-7;COLEDOCOTOMIA VIDEOLAPAROSCOPICA
04.07.03.012-3;ESPLENECTOMIA
04.07.03.013-1;HEPATECTOMIA PARCIAL
04.07.03.016-6;HEPATOTOMIA E DRENAGEM DE ABSCESSO / CISTO
04.07.03.017-4;MARSUPIALIZAÇÃO DE ABSCESSO / CISTO
04.07.03.018-2;PANCREATECTOMIA PARCIAL
04.07.03.019-0;PANCREATECTOMIA VIDEOLAPAROSCOPICA
04.07.03.020-4;PANCREATO-DUODENECTOMIA
04.07.03.021-2;PANCREATO-ENTEROSTOMIA
04.07.03.022-0;PANCREATOTOMIA PARA DRENAGEM
04.07.03.024-7;TRATAMENTO CIRÚRGICO DE CISTOS PANCREATICOS
04.07.03.025-5;COLANGIOPANCREATOGRAFIA RETRÓGRADA ENDOSCÓPICA TERAPÊUTICA
04.07.04.004-8;HERNIOPLASTIA DIAFRAGMATICA (VIA ABDOMINAL)
04.07.04.005-6;HERNIOPLASTIA DIAFRAGMATICA (VIA TORACICA)
04.07.04.006-4;HERNIOPLASTIA EPIGASTRICA
04.07.04.007-2;HERNIOPLASTIA EPIGASTRICA VIDEOLAPAROSCOPICA
04.07.04.008-0;HERNIOPLASTIA INCISIONAL
04.07.04.009-9;HERNIOPLASTIA INGUINAL (BILATERAL)
04.07.04.010-2;HERNIOPLASTIA INGUINAL / CRURAL (UNILATERAL)
04.07.04.011-0;HERNIOPLASTIA RECIDIVANTE
04.07.04.012-9;HERNIOPLASTIA UMBILICAL
04.07.04.013-7;HERNIORRAFIA INGUINAL VIDEOLAPAROSCOPICA
04.07.04.015-3;HERNIORRAFIA UMBILICAL VIDEOLAPAROSCOPICA
04.07.04.022-6;REPARACAO DE OUTRAS HERNIAS
04.07.04.026-9;VAGOTOMIA VIDEOLAPAROSCOPICA
04.07.04.017-0;LAPAROTOMIA VIDEOLAPAROSCOPICA PARA DRENAGEM E/OU BIOPSIA
04.08.01.001-0;ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-TORÁCICAS
04.08.01.002-9;ARTRODESE DE GRANDES ARTICULAÇÕES ESCAPULO-UMERAIS
04.08.01.003-7;ARTROPLASTIA ESCAPULO-UMERAL (NÃO CONVENCIONAL)
04.08.01.004-5;ARTROPLASTIA ESCAPULO-UMERAL PARCIAL
04.08.01.005-3;ARTROPLASTIA ESCAPULO-UMERAL TOTAL
04.08.01.006-1;ARTROPLASTIA ESCAPULO-UMERAL TOTAL - REVISÃO / RECONSTRUÇÃO
04.08.01.007-0;DESARTICULAÇÃO DA ARTICULAÇÃO ESCAPULO-UMERAL
04.08.01.008-8;DESARTICULAÇÃO INTERESCAPULO-TORÁCICA
04.08.01.009-6;ESCAPULOPEXIA COM OU SEM OSTEOTOMIA DA ESCAPULA / RESSECÇÃO BARRA OMO-CERVICAL
04.08.01.010-0;OSTECTOMIA DA CLAVÍCULA OU DA ESCÁPULA
04.08.01.011-8;OSTEOTOMIA DA CLAVÍCULA OU DA ESCÁPULA
04.08.01.014-2;REPARO DE ROTURA DO MANGUITO ROTADOR (INCLUI PROCEDIMENTOS DESCOMPRESSIVOS)
04.08.01.018-5;04.08.01.018-5 - TRATAMENTO CIRURGICO DE LUXACAO / FRATURA-LUXACAO ACROMIO-CLAVICULAR
04.08.01.020-7;TRATAMENTO CIRÚRGICO DE LUXAÇÃO / FRATURA-LUXAÇÃO ESTERNO-CLAVICULAR
04.08.01.021-5;TRATAMENTO CIRÚRGICO DE LUXAÇÃO RECIDIVANTE / HABITUAL DE ARTICULAÇÃO ESCAPULO-UMERAL
04.08.01.022-3;TRATAMENTO CIRÚRGICO DE RETARDO DE CONSOLIDAÇÃO DA PSEUDARTROSE DE CLAVICULA / ESCAPULA
04.08.01.023-1;TRATAMENTO CIRÚRGICO DA SÍNDROME DO IMPACTO SUB-ACROMIAL
04.08.02.003-2;04.08.02.003-2 - ARTRODESE DE MÉDIAS / GRANDES ARTICULAÇÕES DE MEMBRO SUPERIOR
04.08.02.004-0;ARTROPLASTIA DE ARTICULAÇÃO DA MÃO
04.08.02.005-9;ARTROPLASTIA DE CABEÇA DO RÁDIO
04.08.02.006-7;ARTROPLASTIA DE PUNHO
04.08.02.007-5;ARTROPLASTIA TOTAL DE COTOVELO
04.08.02.008-3;ARTROPLASTIA TOTAL DE COTOVELO (REVISÃO / RECONSTRUÇÃO)
04.08.02.009-1;RESSECÇÃO DO OLECRANO E/OU CABEÇA DO RÁDIO
04.08.02.013-0;RECONSTRUÇÃO CAPSULO-LIGAMENTAR DE COTOVELO PUNHO
04.08.02.014-8;RECONSTRUÇÃO DE POLIA TENDINOSA DOS DEDOS DA MÃO
04.08.02.012-1;04.08.02.012-1 - REALINHAMENTO DE MECANISMO EXTENSOR DOS DEDOS DA MÃO
04.08.02.047-4;TRATAMENTO CIRÚRGICO DE GIGANTISMO DA MÃO
04.08.02.049-0;TRATAMENTO CIRÚRGICO DE LESÃO DA MUSCULATURA INTRÍNSECA DA MÃO
04.08.02.055-5;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA MÃO
04.08.02.050-4;TRATAMENTO CIRÚRGICO DE LESÃO EVOLUTIVA FISARIA NO MEMBRO SUPERIOR
04.08.02.056-3;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ANTEBRAÇO
04.08.02.057-1;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO ÚMERO
04.08.02.058-0;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE AO NÍVEL DO COTOVELO
04.08.02.059-8;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE NA REGIÃO METAFISE-EPIFISÁRIA DISTAL DO RÁDIO E ULNA
04.08.02.060-1;TRATAMENTO CIRÚRGICO DE PSEUDO-RETARDO / CONSOLIDAÇÃO / PERDA ÓSSEA AO ÍIVEL DO CARPO
04.08.02.061-0;TRATAMENTO CIRÚRGICO DE ROTURA / DESINSERÇÃO / ARRANCAMENTO CAPSULO-TENO-LIGAMENTAR NA MÃO
04.08.02.062-8;TRATAMENTO CIRÚRGICO DE SINDACTILIA DA MÃO (POR ESPACO INTERDIGITAL)
04.08.02.063-6;TRATAMENTO CIRÚRGICO DE SINOSTOSE RÁDIO ULNAR
04.08.02.064-4;TRATAMENTO CIRÚRGICO P/ CENTRALIZAÇÃO DO PUNHO
04.08.03.001-1;ARTRODESE CERVICAL / CERVICO TORÁCICA POSTERIOR CINCO NIVEIS
04.08.03.002-0;ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR UM NIVEL
04.08.03.003-8;ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR DOIS NÍVEIS
04.08.03.004-6;ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR SEIS NÍVEIS
04.08.03.005-4;ARTRODESE CERVICAL / CERVICO-TORÁCICA POSTERIOR TRES NÍVEIS
04.08.03.006-2;ARTRODESE CERVICAL ANTERIOR TRÊS NIVEIS
04.08.03.007-0;ARTRODESE CERVICAL ANTERIOR DOIS NÍVEIS
04.08.03.008-9;ARTRODESE CERVICAL ANTERIOR C1-C2 VIA TRANS-ORAL / EXTRA-ORAL
04.08.03.009-7;ARTRODESE CERVICAL ANTERIOR CINCO NÍVEIS
04.08.03.010-0;ARTRODESE CERVICAL ANTERIOR QUATRO NÍVEIS
04.08.03.011-9;ARTRODESE CERVICAL ANTERIOR UM NÍVEL
04.08.03.012-7;ARTRODESE CERVICAL POSTERIOR C1-C2
04.08.03.013-5;ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL UM NÍVEL
04.08.03.014-3;ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL DOIS NÍVEIS
04.08.03.015-1;ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL QUATRO NÍVEIS
04.08.03.016-0;ARTRODESE INTERSOMATICA VIA POSTERIOR / POSTERO-LATERAL TRES NÍVEIS
04.08.03.017-8;ARTRODESE OCCIPTO-CERVICAL (C2) POSTERIOR
04.08.03.018-6;ARTRODESE OCCIPTO-CERVICAL (C3)POSTERIOR
04.08.03.019-4;ARTRODESE OCCIPTO-CERVICAL (C4)POSTERIOR
04.08.03.020-8;ARTRODESE OCCIPTO-CERVICAL (C5) POSTERIOR
04.08.03.021-6;ARTRODESE OCCIPTO-CERVICAL (C6)POSTERIOR
04.08.03.022-4;ARTRODESE OCCIPTO-CERVICAL (C7) POSTERIOR
04.08.03.023-2;ARTRODESE TORACO-LOMBO-SACRA ANTERIOR UM NÍVEL
04.08.03.024-0;ARTRODESE TORACO-LOMBO-SACRA ANTERIOR DOIS NIVEIS
04.08.03.025-9;ARTRODESE TORACO-LOMBO-SACRA ANTERIOR, TRES NIVEIS,
04.08.03.026-7;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR UM NÍVEL
04.08.03.027-5;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR TRÊS NIVEIS
04.08.03.028-3;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR CINCO NÍVEIS
04.08.03.029-1;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, DOIS NÍVEIS,
04.08.03.030-5;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, QUATRO NÍVEIS,
04.08.03.031-3;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SEIS NÍVEIS,
04.08.03.032-1;ARTRODESE TORACO-LOMBO-SACRA POSTERIOR, SETE NIVEIS,
04.08.03.033-0;COSTO-TRANSVERSECTOMIA
04.08.03.034-8;COSTOPLASTIA (3 OU MAIS COSTELAS)
04.08.03.035-6;DESCOMPRESSÃO DA JUNÇÃO CRANIO-CERVICAL VIA TRANSORAL / RETROFARINGEA
04.08.03.036-4;DESCOMPRESSÃO OSSEA NA JUNÇÃO CRANIO-CERVICAL VIA POSTERIOR
04.08.03.037-2;DESCOMPRESSÃO OSSEA NA JUNÇÃO CRANIO-CERVICAL VIA POSTERIOR COM DUROPLASTIA
04.08.03.038-0;DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (1 NÍVEL COM MICROSCÓPIO)
04.08.03.039-9;DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (UM NÍVEL)
04.08.03.040-2;DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS NÍVEIS)
04.08.03.041-0;DISCECTOMIA CERVICAL / LOMBAR / LOMBO-SACRA POR VIA POSTERIOR (DOIS OU MAIS NÍVEIS C/ MICROSCÓPIO)
04.08.03.042-9;DISCECTOMIA CERVICAL ANTERIOR (ATÉ 2 NÍVEIS C/ MICROSCÓPIO)
04.08.03.043-7;DISCECTOMIA CERVICAL POR VIA ANTERIOR (1 NÍVEL)
04.08.03.044-5;DISCECTOMIA CERVICAL POR VIA ANTERIOR (2 OU MAIS NÍVEIS)
04.08.03.045-3;DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (COM 2 OU MAIS NÍVEIS)
04.08.03.046-1;DISCECTOMIA TORACO-LOMBO-SACRA POR VIA ANTERIOR (1 NÍVEL)
04.08.03.050-0;RESSECÇÃO DE 2 OU MAIS CORPOS VERTEBRAIS CERVICAIS
04.08.03.051-8;RESSECÇÃO DE 2 OU MAIS CORPOS VERTEBRAIS TORACO-LOMBO-SACROS
04.08.03.052-6;RESSEÇÃO DE COCCIX
04.08.03.053-4;RESSECÇÃO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL / DISTAL A C2 (MAIS DE 2 SEGMENTOS)
04.08.03.054-2;RESSECÇÃO DE ELEMENTO VERTEBRAL POSTERIOR / POSTERO-LATERAL DISTAIL A C2 (AT 2 SEGMENTOS)
04.08.03.055-0;RESSECÇÃO DE UM CORPO VERTEBRAL CERVICAL
04.08.03.056-9;RESSECÇÃO DE UM CORPO VERTEBRAL TORACO-LOMBO-SACRO
04.08.03.057-7;RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA ANTERIOR
04.08.03.058-5;RETIRADA DE CORPO ESTRANHO DA COLUNA CERVICAL POR VIA POSTERIOR
04.08.03.059-3;RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA ANTERIOR
04.08.03.060-7;RETIRADA DE CORPO ESTRANHO DA COLUNA TORACO-LOMBO-SACRA POR VIA POSTERIOR
04.08.03.061-5;REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTOSE DA COLUNA TORACO-LOMBO-SACRA ANTERIOR
04.08.03.062-3;REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTROSE DA COLUNA CERVICAL POSTERIOR
04.08.03.063-1;REVISÃO DE ARTRODESE / TRATAMENTO CIRÚRGICO DE PSEUDARTROSE DA COLUNA TORACO-LOMBO-SACRA POSTERIOR
04.08.03.064-0;REVISÃO DE ARTRODESE TRATAMENTO CIRÚRGICO DE PSEUDOARTORSE DA COLUNA CERVICAL ANTERIOR
04.08.03.065-8;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERO-POSTERIOR NOVE OU MAIS NÍVEIS
04.08.03.066-6;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR OITO NÍVEIS
04.08.03.067-4;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR QUATRO NÍVEIS
04.08.03.068-2;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR CINCO NÍVEIS
04.08.03.069-0;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR POSTERIOR ATÉ OITO NÍVEIS
04.08.03.070-4;VERTEBROPLASTIA POR DISPOSITIVO GUIADO EM UM NÍVEL
04.08.03.071-2;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SEIS NÍVEIS
04.08.03.072-0;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR SETE NÍVEIS
04.08.03.073-9;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR OITO NIVEIS
04.08.03.074-7;TRATAMENTO CIRÚRGICO DE FRATURA NIVEL C1 - C2 POR VIA ANTERIOR (OSTEOSSINTESE)
04.08.03.075-5;TRATAMENTO CIRÚRGICO DE TORCICOLO CONGENITO
04.08.03.076-3;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR NOVE NÍVEIS
04.08.03.077-1;TRATAMENTO CIRÚRGICO DESCOMPRESSIVO AO NÍVEL DO DESFILADEIRO TORACICO
04.08.03.078-0;VERTEBROPLASTIA POR DISPOSITIVO GUIADO DOIS NÍVEIS
04.08.03.079-8;VERTEBROPLASTIA POR DISPOSITIVO GUIADO TRES NÍVEIS
04.08.03.080-1;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOZE NIVEIS OU MAIS
04.08.03.081-0;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DEZ NÍVEIS
04.08.03.082-8;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR ONZE NÍVEIS
04.08.03.083-6;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR DOIS NÍVEIS
04.08.03.084-4;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA ANTERIOR TRÊS NÍVEIS
04.08.03.085-2;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR CINCO NÍVEIS
04.08.03.086-0;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SEIS NÍVEIS
04.08.03.087-9;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR TRÊS NÍVEIS
04.08.03.088-7;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR QUATRO NÍVEIS
04.08.03.089-5;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR DOIS NIVEIS
04.08.03.090-9;TRATAMENTO CIRÚRGICO DE DEFORMIDADE DA COLUNA VIA POSTERIOR SETE NÍVEIS
04.08.03.091-7;ARTRODESE CERVICAL / CERVICO TORÁCICA POSTERIOR QUATRO NÍVEIS
04.08.04.001-7;ARTRODESE COXOFEMORAL
04.08.04.002-5;ARTRODESE DA SÍNFISE PÚBICA
04.08.04.003-3;ARTRODESE DE ARTICULAÇÕES SACROILIACAS
04.08.04.004-1;ARTROPLASTIA DE QUADRIL (NÃO CONVENCIONAL)
04.08.04.005-0;ARTROPLASTIA PARCIAL DE QUADRIL
04.08.04.006-8;ARTROPLASTIA TOTAL DE CONVERSÃO DO QUADRIL
04.08.04.007-6;ARTROPLASTIA DE REVISÃO OU RECONSTRUÇÃO DO QUADRIL
04.08.04.008-4;ARTROPLASTIA TOTAL PRIMÁRIA DO QUADRIL CIMENTADA
04.08.04.009-2;ARTROPLASTIA TOTAL PRIMARIA DO QUADRIL NÃO CIMENTADA / HÍBRIDA
04.08.04.013-0;EPIFISIODESE FEMORAL PROXIMAL IN SITU
04.08.04.012-2;EPIFISIODESE DO TROCANTER MAIOR DO FÊMUR
04.08.04.014-9;OSTECTOMIA DA PELVE
04.08.04.015-7;OSTEOTOMIA DA PELVE
04.08.04.016-5;RECONSTRUÇÃO OSTEOPLASTICA DO QUADRIL
04.08.04.026-2;TRATAMENTO CIRÚRGICO DE FRATURA / LUXAÇÃO / FRATURA-LUXAÇÃO / DISJUNÇÃO DO ANEL PÉLVICO ANTERO-POSTERIOR
04.08.05.003-9;ARTRODESE DE MEDIAS / GRANDES ARTICULACOES DE MEMBRO INFERIOR
04.08.05.005-5;ARTROPLASTIA TOTAL DE JOELHO - REVISAO / RECONSTRUÇÃO
04.08.05.006-3;ARTROPLASTIA TOTAL PRIMARIA DO JOELHO
04.08.05.007-1;ARTROPLASTIA UNICOMPARTIMENTAL PRIMARIA DO JOELHO
04.08.05.010-1;PATELECTOMIA TOTAL OU PARCIAL
04.08.05.011-0;QUADRICEPSPLASTIA
04.08.05.012-8;REALINHAMENTO DO MECANISMO EXTENSOR DO JOELHO
04.08.05.013-6;RECONSTRUÇÃODE TENDAO PATELAR / TENDAO QUADRICIPITAL
04.08.05.014-4;RECONSTRUÇÃO LIGAMENTAR DO TORNOZELO
04.08.05.015-2;RECONSTRUÇÃO LIGAMENTAR EXTRA-ARTICULAR DO JOELHO
04.08.05.016-0;RECONSTRUÇÃOLIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO ANTERIOR)
04.08.05.017-9;RECONSTRUÇÃO LIGAMENTAR INTRA-ARTICULAR DO JOELHO (CRUZADO POSTERIOR COM OU SEM ANTERIOR)
04.08.05.033-0;REVISAO CIRURGICA DE COTO DE AMPUTAÇÃO EM MEMBRO INFERIOR (EXCETO DEDOS DO PE)
04.08.05.032-2;REPARO DE BAINHA TENDINOSA AO NIVEL DO TORNOZELO
04.08.05.034-9;REVISÃO CIRÚRGICA DO PE TORTO CONGENITO
04.08.05.035-7;SINDACTILIA CIRÚRGICA DOS DEDOS DO PE (PROCEDIMENTO TIPO KELIKIAN)
04.08.05.036-5;TALECTOMIA
04.08.05.037-3;TENOSINOVECTOMIA EM MEMBRO INFERIOR
04.08.05.038-1;TRANSFERENCIA DO GRANDE TROCANTER (PROCEDIMENTO ISOLADO)
04.08.05.039-0;TRANSFERENCIA MUSCULAR / TENDINOSA NO MEMBRO INFERIOR
04.08.05.040-3;TRANSPLANTE DE MENISCO
04.08.05.041-1;TRANSPOSIÇÃO DA FIBULA PARA A TIBIA
04.08.05.042-0;TRATAMENTO CIRÚRGICO DAS DESINSERCOES DAS ESPINHAS INTERCONDILARES / EPICONDILARES
04.08.05.043-8;TRATAMENTO CIRÚRGICO DE AVULSAO DO GRANDE E DO PEQUENO TROCANTER
04.08.05.044-6;TRATAMENTO CIRÚRGICO DE COALIZAO TARSAL
04.08.05.065-9;TRATAMENTO CIRÚRGICO DE HALUX VALGUS COM OSTEOTOMIA DO PRIMEIRO OSSO METATARSIANO
04.08.05.064-0;TRATAMENTO CIRÚRGICO DE GIGANTISMO DO PÉ
04.08.05.067-5;TRATAMENTO CIRÚRGICO DE LESÃO EVOLUTIVA FISÁRIA NO MEMBRO INFERIOR
04.08.05.072-1;TRATAMENTO CIRÚRGICO DE METATARSO PRIMO VARO
04.08.05.073-0;TRATAMENTO CIRÚRGICO DE PÉ CAVO
04.08.05.074-8;TRATAMENTO CIRÚRGICO DE PÉ PLANO VALGO
04.08.05.075-6;TRATAMENTO CIRÚRGICO DE PÉ TALO VERTICAL
04.08.05.076-4;TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO
04.08.05.077-2;TRATAMENTO CIRÚRGICO DE PÉ TORTO CONGÊNITO INVETERADO
04.08.05.078-0;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA AO NÍVEL DO TARSO
04.08.05.079-9;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE DO FÊMUR
04.08.05.080-2;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA REGIÃO TROCANTERIANA
04.08.05.081-0;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO COLO DO FÊMUR
04.08.05.082-9;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DO PÉ
04.08.05.083-7;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA METÁFISE DISTAL DO FÊMUR
04.08.05.084-5;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO AO NÍVEL DO JOELHO
04.08.05.085-3;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE CONGÊNITA DA TÍBIA
04.08.05.086-1;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO / PERDA ÓSSEA DA DIÁFISE TIBIAL
04.08.05.087-0;TRATAMENTO CIRÚRGICO DE PSEUDARTROSE / RETARDO DE CONSOLIDAÇÃO/ PERDA ÓSSEA DA METÁFISE TIBIAL
04.08.05.088-8;TRATAMENTO CIRÚRGICO DE ROTURA DE MENISCO COM SUTURA MENISCAL UNI / BICOMPATIMENTAL
04.08.05.089-6;TRATAMENTO CIRÚRGICO DE ROTURA DO MENISCO COM MENISCECTOMIA PARCIAL / TOTAL
04.08.05.090-0;TRATAMENTO CIRÚRGICO DO HALUX RIGIDUS
